Year,Country,Import,Export
1985,Canada,69006.40,47251.00
1986,Canada,68252.70,45332.50
1987,Canada,71084.90,59814.30
1988,Canada,81398.00,71622.00
1989,Canada,87953.00,78808.90
1990,Canada,91380.10,83673.80
1991,Canada,91063.90,85149.80
1992,Canada,98629.80,90594.30
1993,Canada,111216.40,100444.20
1994,Canada,128405.90,114438.60
1995,Canada,144369.90,127226.00
1996,Canada,155892.60,134210.20
1997,Canada,167234.10,151766.70
1998,Canada,173256.00,156603.50
1999,Canada,198711.10,166600.00
2000,Canada,230838.30,178940.90
2001,Canada,216267.90,163424.10
2002,Canada,209087.70,160922.70
2003,Canada,221594.65,169923.67
2004,Canada,256359.84,189879.87
2005,Canada,290384.29,211898.69
2006,Canada,302437.86,230656.01
2007,Canada,317056.76,248888.14
2008,Canada,339491.43,261149.83
2009,Canada,226248.45,204657.96
2010,Canada,277636.73,249256.46
2011,Canada,315324.75,281291.53
2012,Canada,324263.01,292650.53
2013,Canada,332557.80,300754.87
2014,Canada,347797.99,312420.81
1985,Mexico,19131.70,13634.70
1986,Mexico,17301.70,12391.70
1987,Mexico,20270.80,14582.30
1988,Mexico,23259.80,20628.50
1989,Mexico,27162.10,24982.00
1990,Mexico,30156.80,28279.00
1991,Mexico,31129.60,33277.20
1992,Mexico,35211.10,40592.30
1993,Mexico,39917.50,41580.80
1994,Mexico,49493.70,50843.50
1995,Mexico,62100.40,46292.10
1996,Mexico,74297.20,56791.60
1997,Mexico,85937.60,71388.50
1998,Mexico,94629.00,78772.60
1999,Mexico,109720.50,86908.90
2000,Mexico,135926.30,111349.00
2001,Mexico,131337.90,101296.50
2002,Mexico,134616.00,97470.10
2003,Mexico,138059.99,97411.79
2004,Mexico,155901.52,110731.28
2005,Mexico,170108.61,120247.58
2006,Mexico,198253.16,133721.71
2007,Mexico,210713.97,135918.14
2008,Mexico,215941.62,151220.06
2009,Mexico,176654.37,128892.14
2010,Mexico,229985.62,163664.65
2011,Mexico,262873.60,198288.74
2012,Mexico,277593.64,215875.12
2013,Mexico,280555.17,226070.26
2014,Mexico,294074.05,240248.66
1985,Brazil,7526.20,3139.60
1986,Brazil,6812.90,3885.40
1987,Brazil,7865.40,4039.90
1988,Brazil,9294.30,4266.40
1989,Brazil,8410.00,4803.90
1990,Brazil,7898.10,5047.70
1991,Brazil,6716.70,6147.90
1992,Brazil,7609.10,5751.30
1993,Brazil,7478.80,6058.00
1994,Brazil,8682.50,8101.50
1995,Brazil,8832.90,11439.40
1996,Brazil,8773.10,12717.60
1997,Brazil,9625.30,15914.60
1998,Brazil,10101.80,15141.80
1999,Brazil,11313.90,13202.60
2000,Brazil,13852.60,15320.80
2001,Brazil,14466.30,15879.40
2002,Brazil,15780.50,12375.90
2003,Brazil,17910.34,11211.01
2004,Brazil,21159.92,13886.42
2005,Brazil,24435.52,15371.72
2006,Brazil,26366.73,18887.03
2007,Brazil,25644.19,24172.32
2008,Brazil,30452.94,32298.65
2009,Brazil,20069.61,26095.46
2010,Brazil,23958.06,35417.67
2011,Brazil,31736.52,43018.84
2012,Brazil,32123.38,43771.28
2013,Brazil,27631.00,44092.98
2014,Brazil,30536.55,42429.39
1985,China,3861.70,3855.70
1986,China,4771.00,3106.30
1987,China,6293.60,3497.30
1988,China,8510.90,5021.60
1989,China,11989.70,5755.40
1990,China,15237.40,4806.40
1991,China,18969.20,6278.20
1992,China,25727.50,7418.50
1993,China,31539.90,8762.90
1994,China,38786.80,9281.70
1995,China,45543.20,11753.70
1996,China,51512.80,11992.60
1997,China,62557.70,12862.20
1998,China,71168.60,14241.20
1999,China,81788.20,13111.10
2000,China,100018.20,16185.20
2001,China,102278.40,19182.30
2002,China,125192.60,22127.70
2003,China,152436.10,28367.94
2004,China,196682.03,34427.77
2005,China,243470.10,41192.01
2006,China,287774.35,53673.01
2007,China,321442.87,62936.89
2008,China,337772.63,69732.84
2009,China,296373.88,69496.68
2010,China,364952.63,91911.08
2011,China,399371.23,104121.52
2012,China,425619.08,110516.62
2013,China,440434.33,121721.15
2014,China,466754.46,123675.67
1985,Germany,20239.20,9050.20
1986,Germany,25123.80,10560.60
1987,Germany,27069.40,11747.70
1988,Germany,26362.00,14347.50
1989,Germany,24832.30,16862.30
1990,Germany,28162.00,18759.90
1991,Germany,26136.40,21302.50
1992,Germany,28820.40,21248.50
1993,Germany,28562.00,18932.30
1994,Germany,31744.30,19229.10
1995,Germany,36843.90,22394.30
1996,Germany,38944.90,23494.90
1997,Germany,43121.40,24458.30
1998,Germany,49841.90,26657.20
1999,Germany,55228.30,26800.30
2000,Germany,58512.90,29448.40
2001,Germany,59076.60,29995.40
2002,Germany,62505.70,26629.60
2003,Germany,68112.69,28831.87
2004,Germany,77265.57,31415.88
2005,Germany,84750.87,34183.66
2006,Germany,89082.05,41159.12
2007,Germany,94164.10,49419.70
2008,Germany,97496.57,54505.26
2009,Germany,71498.15,43306.26
2010,Germany,82450.41,48155.26
2011,Germany,98684.34,49294.19
2012,Germany,109225.77,48802.97
2013,Germany,114349.33,47361.99
2014,Germany,123259.61,49363.34
